No,description,tags
0,wankhedes notorious reputation for being a chasing ground rohits decision to bat first seems  well  questionable hear in to what he has to saypandya to rahane six thats it the demolition job is complete mumbais tombstone has been planted at the wankhede with the sign rest in peace and what a way to bring up victory short ball rahane jumps with it and ramps it over the third man fence well playedpandya to rahane no run back of a length delivery outside off rahane tries to glide it to third man but cant lay a bat pandya to rahane six length ball  rahane opens his stance loads up big time and smears it over longon small man fierce stroke,sports mumbai rahane ball bat chasing over third man length delivery delivery man first third back jumps length decision
1,pandya to rahane no run picks a short of length delivery from outside off and twirls his wrists but a good stop from rayudu at midwicket stops the single hardik pandya rightarm medium comes into the attackharbhajan to rahane one run eases on the front foot and nudges a single down to longonharbhajan to pietersen one run harbhajan wont be tossing them up now fires it flat on middle and catches a thick inside edge as kp is stuck on the crease it wanders away through the square leg regionharbhajan to rahane one run bends his back knee a shade and helps the flatter ball to deep backward square with a controlled pull,sports length delivery delivery leg short wrists stop mid-wicket single right-arm front foot tossing fires flat middle catches thick inside edge square leg mid-wicket edge knee square back good length
2,harbhajan to rahane no run pushes it quick just outside off skids on from a length and its been punched towards coverharbhajan to pietersen one run flatter on the stumps and nurdled behind square to hand it over to rahaneharbhajan to pietersen six bhajji tries the drifter and hes been rammed into oblivion drops it short allowing kp enough time on the back foot and he butchers itshreyas gopal to rahane no run dropped quicker just outside off rahane smashes it straight into the lap of shreyas gopal who spills it wasnt expecting thecatch and looked lazy on the replays,sports shreyas gopal drifter cricket in india rahane pietersen shreyas gopal cricket ball over short foot controlled skids punched stumps drops quicker smashes straight square deep hand back lap quick length behind backward
3,shreyas gopal to pietersen leg byes one run splayed down leg pietersen fails to glance off the pads behind square shreyas gopal to pietersen two runs sat on the back foot and nailed the cut shot through cover looked in a bit of strife while hustling back for the second but made it safely in the end buttler didnt gather that cleanly eitherrunout check sent upstairs kp is the man in question looks safe and not out shouldwill be the verdict yes not out flashes on the giant screenshreyas gopal to rahane one run flattish outside off rahane camps back and cuts through cover,sports cut pietersen shot off leg foot cut shot pads out not out man second safe back behind
4,shreyas gopal to rahane no run on the stumps nudged in front of short midwicketshreyas gopal to rahane four this wont help either short and pleaseslap me line from shreyas gopal rahane jumps back and murders the pull through midwicket fifty for rahaneharbhajan to pietersen six take that lauds ravi shaz as kp waltzes down the pitch and deposits a handsome blow over longon too predictable from bhajji who floats one on off and kp says thank you after pinging it off the middleharbhajan to pietersen no run pulls his length back and entices kp into the back foot cut ends up chopping it to backward point,sports foot cut ravi shaz kp pitch over off short front foot pull fifty chopping line back jumps pulls one length backward
5,harbhajan to pietersen no run quick and flat pushed back to the bowlerharbhajan to pietersen two runs darted down leg pietersen helps it on its way with a wristy tickle towards fine legharbhajan to rahane one run shortish just outside off punched with the full face of the bat to sweeper coverharbhajan to rahane two runs drifting into the pads rahane plays late  flicked off the pads and good running takes care of the restshreyas gopal to rahane one run drops it short around middle rahane is happy to sit back and pull that over midwicket,sports sweeper bat off short punched pads pull pushed full face sweeper drifting flicked running back face quick late good full
6,sensible batting thisshreyas gopal to rahane two runs lots of revs on this legspinner rahane jumps on the back foot and punches it on its head through covershreyas gopal to pietersen one run sprays this one around the pads clipped away modestly past square legshreyas gopal to pietersen no run looped full on off pietersen drives hard off the toeend and back to the bowlershreyas gopal to rahane one run keeps it around the stumps again worked through midwicketshreyas gopal to pietersen one run quicker on the stumps eased down to longonshreyas gopal is back into the attack,sports square legshreyas gopal batting cricket sports teams off foot stumps drives toe-end square head batting back jumps drives one full
7,harbhajan to pietersen one run gets across the pitch and scoops a flat delivery past fine leg off the mark with a singleharbhajan to pietersen no run what a way to welcome kp absolute jaffa to start with tossed up around off and spun viciously into the batsman kp was stuck on the back foot was trying to cut but was beaten all ends up how did that miss the edgekevin pietersen right handed bat comes to the creaseharbhajan to du plessis out bowled bhajji is having one heck of a night first with the bat and now with the ball,sports kevin pietersen cricket kevin pietersen dismissal batting pitch bat delivery off flat scoops tossed beaten mark back start one
8,finally a wicket for mumbai indians but was it too late flattish on legstump line du plessis drops to one knee and seeks to sweep was a bit early into the stroke and the key was  bhajji slowed it up in the air missed the shot completely and finds his legstump pegged back the ball sneaked through his arms and du plessis was befuddled by the slowness of the delivery du plessis b harbhajan harbhajan to du plessis thats out bowledharbhajan to du plessis no run hint of turn just a smidgen around middle and leg du plessis drags the pull in front of short midwicketharbhajan to rahane one run darted in outside off extracts good bounce too rahane rises on his toes to punch it down the ground a single to longoff,sports mumbai stroke plessis surnames harbhajan genealogy wicket ball shot stroke short single front middle pull flattish leg-stump sweep. slowed bounce bounce knee arms punch toes one good
9,harbhajan to du plessis one run flat on middle swept away behind square leg not middled but got enough wood to drag the shotharbhajan singh rightarm off break comes into the attack so the equation now reads fourtysix from sixtysixt balls heres bhajjbivinay to rahane four,sports mumbai maharashtra rising pune supergiants sport in maharashtra india rahane rps pune supergiant star off right-arm flat swept middled outfield mid-off square punch behind
10,vinay to rahane two runs thats chipped and chipped safely fullish delivery curled in just outside off rahane aims an ambitious lofted drive hits the splice and lands well in front of an incoming deep extra covervinay to du plessis one run offers some pace this time full around fifth stump channel drilled wide of midoffvinay to du plessis no run the loopy slower bouncerdu plessis was early into the shot  trying to play the ramp shot but was defeated for lack of pacevinay to du plessis two runs hurled full with ample width on offer crashed through cover for a couple of runs,sports plessis surnames shot delivery front cover chipped splice pace stump wide couple deep extra fifth full play
11,vinay to du plessis wide vinay kumar is making that wide tramline cryvinay to du plessis no run slower back of a length delivery wide of off du plessis gives charge but could only mistime the flatbat biff to midoffshreyas gopal to du plessis one run looped up on the stumps du plessis sinks to one knee and sweeps behind square on the legside retains the strike with that runshreyas gopal to rahane one run dragged down around middle and off rahane rocks back and muscles the pull through midwicket,sports vinay kumar plessis surnames ball length delivery delivery off middle pull wide flat-bat sweeps strike knee square back one length behind full playing
12,shreyas gopal to rahane no run flighted full around off rahane steps out aint to the pitch of the ball but manages to negate the spin into the offsideshreyas gopal to du plessis one run pushed through quicker full at the pads flicked away towards deep midwicket and the singles keep comingshreyas gopal to rahane one run the googly on middle rahane backs away and slashes it through covers an easy single on offershreyas gopal to du plessis one run tossed up on middle du plessis clips off his pads a single through square legshreyas gopal rightarm leg break comes into the attack,sports square legshreyas gopal surname bowling googly plessis ball pitch off leg mid-wicket single right-arm mid-wicket pushed flighted spin singles googly deep mid-wicket square deep full
13,time for some legspin nowvinay to du plessis one run du plessis drives this good length delivery towards sweeper cover and will keep the strikevinay to du plessis wide slower delivery gone wrong in terms of line not length bowled it well outside off and du plessis let it go the umpire calls it a widevinay to du plessis no run du plessis stays legside and pushdrives this one to pollard at extra covervinay to du plessis wide du plessis ventures out of the crease premeditated and it does not pay well vinay bowled it short and wide and du plessis could not have reached it anyway,sweeper plessis surnames extra length delivery delivery off short cover sweeper drives wide leg-spin umpire line leg-side leg-side extra drives one good length
14,vinay to du plessis no run vinay does well to save some runs du plessis was shaping up to lap it fine vinay saw him early and bowled it slower outside off du plessis fails to make any connectionvinay to du plessis no run short of a fuller length around off du plessis defends towards coverpointvinay to rahane one run back of a length delivery and around off rahane is happy in his crease short arm jab to longonvinay to rahane no run around off from a length rahane pats to extra covervinay kumar rightarm medium comes into the attack,cricket plessis surnames extra sports length delivery delivery off short right-arm defends extra back lap length arm
